Timestamp,Heart Rate,RR Interval
1740144449.913526,127,0.5
1740144449.913562,127,0.5
1740144450.902574,125,0.504
1740144450.902605,125,0.508
1740144451.896245,124,0.508
1740144451.896277,124,0.516
1740144452.8839512,122,0.512
1740144452.8839839,122,0.516
1740144453.874353,121,0.52
1740144453.8743832,121,0.52
1740144454.862679,119,0.524
1740144454.8627,119,0.524
1740144455.853301,118,0.524
1740144455.853328,118,0.528
1740144456.842357,117,0.532
1740144456.8423839,117,0.532
1740144457.8359191,117,0.532
1740144457.837034,117,0.528
1740144458.8221781,116,0.535
1740144458.8222048,116,0.524
1740144459.8135948,116,0.528
1740144459.813633,116,0.524
1740144460.802958,116,0.532
1740144461.795406,116,0.524
1740144461.795435,116,0.52
1740144462.783385,117,0.512
1740144462.783412,117,0.504
1740144463.7743201,118,0.504
1740144463.7743518,118,0.496
1740144463.774357,118,0.5
1740144464.762468,120,0.492
1740144464.762656,120,0.488
1740144465.752393,122,0.5
1740144465.752424,122,0.488
1740144466.742751,124,0.496
1740144466.742781,124,0.496
1740144467.733731,124,0.496
1740144467.7337658,124,0.5
1740144468.721636,124,0.504
1740144468.721668,124,0.504
1740144469.713842,123,0.508
1740144469.713871,123,0.512
1740144470.703625,122,0.504
1740144470.703657,122,0.508
1740144471.695064,122,0.508
1740144471.695096,122,0.5
1740144472.684268,122,0.5
1740144472.684299,122,0.504
1740144473.673404,122,0.496
1740144473.673434,122,0.508
1740144474.662862,122,0.5
1740144474.6628962,122,0.508
1740144475.654508,122,0.504
1740144475.654536,122,0.5
1740144476.641846,122,0.5
1740144476.641868,122,0.496
1740144477.6351502,123,0.5
1740144477.635202,123,0.492
1740144480.601978,123,0.487
1740144480.6020072,123,0.492
1740144480.6034229,124,0.48
1740144480.603431,124,0.484
1740144481.595715,126,0.488
1740144481.595743,126,0.484
1740144481.595747,126,0.488
1740144482.5827782,126,0.484
1740144482.582815,126,0.484
1740144483.573184,127,0.484
1740144483.5732212,127,0.492
1740144484.562986,127,0.48
1740144484.56302,127,0.484
1740144485.55164,127,0.484
1740144485.5516548,127,0.484
1740144486.546229,127,0.48
1740144486.546344,127,0.484
1740144487.5346508,127,0.488
1740144487.534678,127,0.48
1740144488.522138,127,0.488
1740144488.522166,127,0.48
1740144489.5129962,127,0.484
1740144489.5130339,127,0.484
1740144490.502768,127,0.488
1740144490.502805,127,0.488
1740144490.502811,127,0.488
1740144491.492348,126,0.488
1740144491.492382,126,0.492
1740144492.4836538,126,0.488
1740144492.483685,126,0.488
1740144493.473311,126,0.484
1740144493.473342,126,0.492
1740144494.462293,126,0.488
1740144494.462325,126,0.492
1740144495.452474,126,0.5
1740144495.452508,126,0.492
1740144496.444788,125,0.504
1740144496.444819,125,0.504
1740144498.4226592,124,0.496
1740144498.422693,124,0.5
1740144499.4144902,123,0.504
1740144499.414531,123,0.5
1740144500.401632,123,0.507
1740144500.401647,123,0.508
1740144500.40188,122,0.508
1740144500.401883,122,0.508
1740144501.39379,121,0.516
1740144501.393827,121,0.512
1740144502.381747,121,0.508
1740144502.3817751,121,0.508
1740144503.372867,121,0.496
1740144503.372897,121,0.5
1740144504.362538,121,0.492
1740144504.362575,121,0.496
1740144505.3532748,122,0.5
1740144505.353311,122,0.5
1740144506.342824,123,0.504
1740144506.342858,123,0.492
1740144507.3321128,124,0.496
1740144507.3321311,124,0.492
1740144508.3235579,124,0.488
1740144508.3235898,124,0.488
1740144508.3235981,124,0.492
1740144509.311255,125,0.484
1740144509.3112671,125,0.496
1740144510.3026,125,0.488
1740144510.3026402,125,0.496
1740144511.2915452,125,0.504
1740144511.291561,125,0.504
1740144512.282183,124,0.508
1740144512.28221,124,0.504
1740144514.262796,123,0.508
1740144514.262828,123,0.496
1740144514.2637172,123,0.492
1740144514.263733,123,0.5
1740144516.242715,123,0.5
1740144516.24277,123,0.496
1740144516.247144,123,0.504
1740144516.247156,123,0.504
1740144518.222705,123,0.504
1740144518.2227352,123,0.508
1740144518.223497,122,0.504
1740144518.223503,122,0.503
1740144519.2134569,122,0.508
1740144519.2134888,122,0.5
1740144520.202733,122,0.492
1740144520.2027662,122,0.5
1740144521.1925561,123,0.496
1740144521.192596,123,0.496
1740144522.182919,123,0.492
1740144522.1829572,123,0.496
1740144523.170805,124,0.484
1740144523.170822,124,0.492
1740144524.164514,124,0.492
1740144524.1645381,124,0.492
1740144525.1541529,125,0.488
1740144525.15417,125,0.48
1740144525.154173,125,0.472
1740144526.143328,126,0.476
1740144526.143359,126,0.468
1740144527.132546,127,0.472
1740144527.1325839,127,0.476
1740144528.122845,129,0.472
1740144528.122877,129,0.472
1740144529.112556,129,0.484
1740144529.112587,129,0.48
1740144530.101114,129,0.484
1740144530.101166,129,0.488
1740144531.0917919,128,0.492
1740144531.09183,128,0.496
1740144532.082494,127,0.496
1740144532.082531,127,0.492
1740144533.0725482,125,0.496
1740144533.0725849,125,0.496
1740144533.072593,125,0.496
1740144534.060158,124,0.5
1740144534.060181,124,0.504
1740144535.052315,124,0.504
1740144535.052351,124,0.512
1740144536.0430121,123,0.512
1740144536.043051,123,0.508
1740144537.03256,122,0.512
1740144537.032598,122,0.512
1740144538.023315,121,0.504
1740144538.0233548,121,0.503
1740144539.012025,121,0.496
1740144539.01206,121,0.496
1740144540.0091362,122,0.492
1740144540.009147,122,0.488
1740144540.992668,123,0.492
1740144540.9927092,123,0.496
1740144541.982663,124,0.484
1740144541.9826932,124,0.488
1740144542.972932,125,0.492
1740144542.972967,125,0.496
1740144543.96172,125,0.5
1740144543.961759,125,0.504
1740144544.95279,125,0.488
1740144544.952805,125,0.492
1740144545.9417448,124,0.496
1740144545.9417758,124,0.484
1740144546.932482,125,0.488
1740144546.9325151,125,0.492
1740144547.922928,125,0.496
1740144547.922966,125,0.496
1740144548.916063,125,0.5
1740144548.916079,125,0.512
1740144549.9020119,124,0.504
1740144549.9020422,124,0.508
1740144550.892339,123,0.512
1740144550.892376,123,0.52
1740144551.8835251,122,0.512
1740144551.8835552,122,0.5
1740144552.872784,121,0.508
1740144552.8728168,121,0.492
1740144552.872823,121,0.5
1740144553.863172,122,0.5
1740144553.863204,122,0.5
1740144554.852347,122,0.512
1740144554.852382,122,0.52
1740144555.8422961,122,0.524
1740144556.8320398,122,0.536
1740144556.832067,122,0.536
1740144557.823062,120,0.532
1740144557.8230999,120,0.527
1740144558.812661,117,0.536
1740144558.8126988,117,0.536
1740144559.802442,116,0.532
1740144559.802481,116,0.528
1740144560.790184,116,0.536
1740144560.790227,116,0.524
1740144561.782301,116,0.532
1740144561.782323,116,0.52
1740144562.772405,116,0.528
1740144562.772442,116,0.528
1740144563.762552,116,0.532
1740144563.76259,116,0.532
1740144564.751461,116,0.544
1740144564.751498,116,0.54
1740144565.7425091,115,0.548
1740144565.742545,115,0.56
1740144566.731162,115,0.556
1740144567.7229729,113,0.564
1740144567.723011,113,0.56
1740144568.7121549,112,0.548
1740144568.712192,112,0.548
1740144569.701418,111,0.54
